name,type,prefix,price,product,sizeImpression,sku,compositeItem,parentSku,weight,width,variant1Type,variant1Values,variant2Type,variant2Values,alias,amazon.DesCourtes,amazon.title,amazon.Title_FR,aspect,category,CompositeItem,densite,dimentions,dossier,ERPCategory,genre,height,label,length,picture_1,picture_2,picture_3,picture_4,picture_5,picture_6,picture_7,
HousseCoussin,alias,,,alias,4843x4843,,,,,,,,,,,,,,1,,,300,,/HousseCoussin,,,,,,,,,,,,,
L_133,alias,,,alias,4500x4500,,,,,,,,,,,,,,1.33,,,300,,/L_133,,,,,,,,,,,,,
L_140,alias,,,alias,4500x4500,,,,,,,,,,,,,,1.406,,,300,,L_140,,,,,,,,,,,,,
L_150,alias,,,alias,4500x4500,,,,,,,,,,,,,,1.5,,,300,,/L_150,,,,,,,,,,,,,
mugMetal,alias,,,alias,2484x2484,,,,,,,,,,,,,,3.14,,,300,,/mugMetal,,,,,,,,,,,,,
mugsCeramique,alias,,,alias,2598x2598,,,,,,,,,,,,,,2.44,,,300,,/mugsCeramique,,,,,,,,,,,,,
P_133,alias,,,alias,4500x4500,,,,,,,,,,,,,,0.751,,,300,,/P_133,,,,,,,,,,,,,
P_140,alias,,,alias,4500x4500,,,,,,,,,,,,,,0.711,,,300,,/P_140,,,,,,,,,,,,,
P_150,alias,,,alias,4500x4500,,,,,,,,,,,,,,0.666,,,300,,/P_150,,,,,,,,,,,,,
poster,alias,,,alias,4500,,,,,,,,,,,,,,NaN,,,300,,/poster,,,,,,,,,,,,,
tapisDeSouris,alias,,,alias,2835x2835,,,,,,,,,,,,,,1.182,,,300,,/tapisDeSouris,,,,,,,,,,,,,
TDS_GrandFormat,alias,,,alias,4606x2717,,,,,,,,,,,,,,1.7,,,300,,/TDS_GrandFormat,,,,,,,,,,,,,
tote,alias,,,alias,4500x4500,,,,,,,,,,,,,,0.878,,,300,,/tote,,,,,,,,,,,,,
tshirt,alias,,,,,,,,,,,,,,,,,,0.711,,,300,,/tshirt,,,,,,,,,,,,,
mugceramique11oz,simple,MUG,12.9,simple,,COR_{prefix}_{skuLabel},MugCeramique,,,,,,,,mugsCeramique,,Mug céramique {AmazonTitleFr},,,accessories,MugCeramique,,,/mugsCeramique,,unisex,,,,https://storage.googleapis.com/mockup_public_col/{dossier}/fab1_mgc-blanc_{skuLabel}.png,,,,,,,
tshirtHommeColRond,parent,Tsh,22.9,parent,,COR_{prefix}_{skuLabel}_{color}_{taille},TsHommeBioColRond{color}_{taille},COR_Tsh_{Label},120,,color,"white,blue,black,grey,red,pink",taille,"S,M,L,XL",tshirt,,Tshirt Homme col rond {AmazonTitleFr},,,adult,,,,/tshirt,,male,,,,https://storage.googleapis.com/mockup_public_col/{dossier}/fab1_ht-{color_FR}_{skuLabel}.jpg,,,,,,,
BoiteBois,parent,Wb,12.9,parent,,COR_{prefix}_{skuLabel}_{taille},boite-bois-{taille},COR_Wb_{Label},,11,taille,"S,L",,,HousseCoussin,,Boite en Bois Coffret – {AmazonTitleFr} - Petit ou Grand Format,,,accessories,,,,/woodenBox,,unisex,11,,3.5,https://storage.googleapis.com/mockup_public_col/{dossier}/fu_3_wb_{skuLabel}.jpg,https://storage.googleapis.com/mockup_public_col/{dossier}/fu_2_wb_{skuLabel}.jpg,https://storage.googleapis.com/mockup_public_col/{dossier}/fu_1_wb_{skuLabel}.jpg,https://storage.googleapis.com/mockup_public_col/{dossier}/fu_4_wb_{skuLabel}.jpg,https://storage.googleapis.com/mockup_public_col/{dossier}/fu_5_wb_{skuLabel}.jpg,https://storage.googleapis.com/mockup_public_col/{dossier}/fu_6_wb_{skuLabel}.jpg,https://storage.googleapis.com/mockup_public_col/{dossier}/wb-info.png,
TapisdeSourisClassique,parent,TDS,9.9,parent,,COR_{prefix}_{skuLabel}_{color},TapisDeSourisRectangle,COR_TDS_{Label},120,20,color,"white,blue,black,grey,red,pink",,,tapisDeSouris,,Tapis de Souris – {AmazonTitleFr} – (Dimensions 24 x 20 cm),,,accessories,,,,/tapisDeSouris,,unisex,0.5,,24,https://storage.googleapis.com/mockup_public_col/{dossier}/fab_1_td-{color_FR}_{skuLabel}.jpg,https://storage.googleapis.com/mockup_public_col/{dossier}/fab_2_td-{color_FR}_{skuLabel}.jpg,https://storage.googleapis.com/mockup_public_col/{dossier}/fab_3_td-{color_FR}_{skuLabel}.jpg,https://storage.googleapis.com/mockup_public_col/{dossier}/fab_4_td-{color_FR}_{skuLabel}.jpg,,,,
Thermos,parent,Ther,25.9,parent,,COR_{prefix}_{skuLabel},thermos-350ml,COR_Ther_{Label},300,7,,,,,,,Thermos en Inox avec Tasse Intégrée – {AmazonTitleFr} - Bouteille Isotherme,,,accessories,,,,/thermos,,unisex,20.5,,7,https://storage.googleapis.com/mockup_public_col/{dossier}/fab_1_gi_{skuLabel}.jpg,https://storage.googleapis.com/mockup_public_col/{dossier}/fab_2_gi_{skuLabel}.jpg,https://storage.googleapis.com/mockup_public_col/{dossier}/fab_3_gi_{skuLabel}.jpg,https://storage.googleapis.com/mockup_public_col/{dossier}/gourde-info.png,,,,
ToteBag,parent,Tot,14.9,parent,,COR_{prefix}_{skuLabel}_{color},tote-bag-{color},COR_Tot_{Label},120,1,color,"blanc,bleu,turq,noir,rouge,orange",,,tote,,Tote Bag Sac Shopping en Toile – {AmazonTitleFr},,,accessories,,,,/tote,,unisex,42,,38,https://storage.googleapis.com/mockup_public_col/{dossier}/fab_2_tb_{color_FR}_{skuLabel}.jpg,https://storage.googleapis.com/mockup_public_col/{dossier}/fab_1_tb_{color_FR}_{skuLabel}.jpg,https://storage.googleapis.com/mockup_public_col/{dossier}/fab_3_tb_{color_FR}_{skuLabel}.jpg,https://storage.googleapis.com/mockup_public_col/{dossier}/fab_4_tb_{color_FR}_{skuLabel}.jpg,https://storage.googleapis.com/mockup_public_col/{dossier}/tb-info.png,,,
tshirtFemmeColRond,parent,tsf,20.9,parent,,COR_{prefix}_{skuLabel}_{color}_{taille},TshirtFemmeColRond_{color}_{taille},COR_tsf_{Label},150,,color,"white,blue,black,grey,red,pink",taille,"XS,S,M,L,XL",tshirt,,T-shirt Femme Col Rond {AmazonTitleFr},,,adult,,,,/tshirt,,female,,,,https://storage.googleapis.com/mockup_public_col/{dossier}/fab_1_tsf-{color_FR}_{skuLabel}.jpg,https://storage.googleapis.com/mockup_public_col/{dossier}/fab_2_tsf-{color_FR}_{skuLabel}.jpg,,,,,,
